Round 1,,,Sundance - Blue,,,,,,,,,,,,,,,,,,,,,71.4,131,,,Round 1,,,Sundance - Blue,,,,,,,,,,,,,,,,,,,,,71.4,131,,,,,,,,
R-Mac,7,,,3,4,6,4,3,5,4,6,3,4,5,4,5,3,4,6,4,4,38,39,77,70,77,,R-Mac,7,Y,,3,3,5,4,3,4,4,5,3,3,4,4,5,3,4,6,4,3,34,36,70,yes,,10,11.0,1.0,4.0,10.0,2.0,1.0
House,7,,,5,5,5,4,3,4,9,5,3,4,5,3,4,6,5,5,4,5,43,41,84,77,84,,House,7,Y,,5,4,4,4,3,3,9,4,3,3,4,3,4,6,5,5,4,4,39,38,77,yes,,9.5,10.3,0.0,6.0,7.0,3.0,2.0
TJSC,11,,,5,6,6,4,4,6,4,5,4,4,5,4,5,4,5,7,7,6,44,47,91,80,91,,TJSC,11,Y,,4,5,5,4,4,5,3,4,4,3,4,4,4,4,5,6,7,5,38,42,80,yes,,6.5,8.1,0.0,4.0,5.0,7.0,2.0
DK,13,,,7,5,8,4,4,5,6,7,2,7,6,3,5,4,5,5,4,4,48,43,91,78,91,,DK,13,Y,,6,4,7,3,4,4,5,6,2,6,5,3,4,4,5,4,3,3,41,37,78,yes,,7,8.6,1.0,3.0,6.0,5.0,3.0
Saugy,31,,,4,7,6,4,6,6,6,10,6,6,7,2,8,5,8,9,4,5,55,54,109,78,109,,Saugy,31,Y,,2,5,4,2,5,4,4,8,5,4,5,1,6,4,7,7,2,3,39,39,78,yes,,8,8.3,5.0,1.0,4.0,2.0,6.0
Elger,3,,,5,6,6,4,3,4,4,5,5,5,5,3,4,4,4,7,4,6,42,42,84,81,84,,Elger,3,Y,,5,6,5,4,3,3,4,5,5,5,4,3,4,4,4,7,4,6,40,41,81,yes,,6.5,8.1,0.0,2.0,9.0,4.0,3.0
Andy,4,,,5,5,6,5,3,5,6,5,3,5,5,4,4,4,5,7,5,7,43,46,89,85,89,,Andy,4,Y,,5,5,5,5,3,4,6,5,3,4,4,4,4,4,5,7,5,7,41,44,85,yes,,4.5,6.5,0.0,1.0,7.0,7.0,3.0
Jensen,5,,,5,4,4,6,3,5,4,5,3,4,6,3,4,4,5,4,4,6,39,40,79,74,79,,Jensen,5,Y,,5,3,3,6,3,4,4,5,3,3,5,3,4,4,5,4,4,6,36,38,74,yes,,8,9.9,1.0,2.0,10.0,4.0,1.0
Pace,7,,,5,6,6,3,4,5,5,4,4,4,7,4,4,3,5,6,4,5,42,42,84,77,84,,Pace,7,Y,,5,5,5,3,4,4,5,3,4,3,6,4,4,3,5,6,4,4,38,39,77,yes,,6.5,8.5,1.0,3.0,5.0,8.0,1.0
T-Mo,8,,,6,4,6,4,4,5,4,6,3,4,7,4,4,3,4,7,4,5,42,42,84,76,84,,T-Mo,8,Y,,6,3,5,4,4,4,4,5,3,3,6,4,4,3,4,6,4,4,38,38,76,yes,,8,9.1,0.0,3.0,10.0,3.0,2.0
